,beginTime,dataId,gemo,imageCloudage,imageProductType,imageResolution,imageRowCol,imageSatelliteType,imageSensorType,imageSpectrumType,isDel,name,range,thumbnailPath
3719,2017-09-02 10:04:53,0001b0738ceb1ba649ff8fe7a4c7b88d297d,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020453_1008_planet_ortho_28.55N_117.66E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.53399,28.614656],[117.51624,28.53955],[117.77896,28.49168],[117.79624,28.5666],[117.53399,28.614656]]]]}",/data/PL/20170902/20170902_020453_1008_planet_ortho_28.55N_117.66E/20170902_020453_1008_planet_ortho_28.55N_117.66E
3720,2017-09-02 10:04:54,0001813d9299b3734e69b3b756d10890d05b,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020454_100c_planet_ortho_49.68N_122.58E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.41151,49.741493],[122.382835,49.667343],[122.73898,49.609467],[122.76766,49.683838],[122.41151,49.741493]]]]}",/data/PL/20170902/20170902_020454_100c_planet_ortho_49.68N_122.58E/20170902_020454_100c_planet_ortho_49.68N_122.58E
3721,2017-09-02 10:04:54,0001b56dd1afc468469b87eefcd9f4fd952b,,0.1,0102,{3.00},,PL,,{DGP},0,20170902_020454_0e14_planet_ortho_51.43N_123.61E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.44474,51.491898],[123.41526,51.41785],[123.77953,51.361126],[123.80869,51.434937],[123.44474,51.491898]]]]}",/data/PL/20170902/20170902_020454_0e14_planet_ortho_51.43N_123.61E/20170902_020454_0e14_planet_ortho_51.43N_123.61E
3722,2017-09-02 10:04:54,00017122d7cc3e0d455687946ca80a95f80a,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020454_1008_planet_ortho_28.49N_117.64E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.518394,28.54843],[117.500694,28.473295],[117.763245,28.42544],[117.78059,28.500462],[117.518394,28.54843]]]]}",/data/PL/20170902/20170902_020454_1008_planet_ortho_28.49N_117.64E/20170902_020454_1008_planet_ortho_28.49N_117.64E
3723,2017-09-02 10:04:55,00015d2f32451546481d94ffc893eae802d9,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020455_100c_planet_ortho_49.61N_122.55E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.38644,49.676285],[122.3578,49.602165],[122.71332,49.544376],[122.742004,49.618694],[122.38644,49.676285]]]]}",/data/PL/20170902/20170902_020455_100c_planet_ortho_49.61N_122.55E/20170902_020455_100c_planet_ortho_49.61N_122.55E
3724,2017-09-02 10:04:55,00019c122f43267b478f99a8bce573e5cdfe,,0.1,0102,{3.00},,PL,,{DGP},0,20170902_020455_0e14_planet_ortho_51.36N_123.58E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.41543,51.428177],[123.38606,51.354122],[123.74962,51.29754],[123.778984,51.371246],[123.41543,51.428177]]]]}",/data/PL/20170902/20170902_020455_0e14_planet_ortho_51.36N_123.58E/20170902_020455_0e14_planet_ortho_51.36N_123.58E
3725,2017-09-02 10:04:55,00010d34515429304d64b6d7e82e96b94692,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020455_1008_planet_ortho_28.42N_117.63E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.50291,28.482708],[117.48522,28.407558],[117.74761,28.359718],[117.76495,28.434767],[117.50291,28.482708]]]]}",/data/PL/20170902/20170902_020455_1008_planet_ortho_28.42N_117.63E/20170902_020455_1008_planet_ortho_28.42N_117.63E
3726,2017-09-02 10:04:56,0001f349b930ac1e4f1999997b1e6335e60f,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020456_100c_planet_ortho_49.55N_122.52E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.36166,49.611015],[122.33307,49.53687],[122.688255,49.479137],[122.716644,49.553467],[122.36166,49.611015]]]]}",/data/PL/20170902/20170902_020456_100c_planet_ortho_49.55N_122.52E/20170902_020456_100c_planet_ortho_49.55N_122.52E
3727,2017-09-02 10:04:56,0001ec8bd36cecc943f99be7754b0b697529,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020456_0e14_planet_ortho_51.3N_123.55E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.38696,51.36418],[123.35768,51.29012],[123.7207,51.233635],[123.7498,51.30744],[123.38696,51.36418]]]]}",/data/PL/20170902/20170902_020456_0e14_planet_ortho_51.3N_123.55E/20170902_020456_0e14_planet_ortho_51.3N_123.55E
3728,2017-09-02 10:04:56,0001359b89f591c54638bd2db8b5c67559d6,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020456_1008_planet_ortho_28.36N_117.61E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.487465,28.417698],[117.46983,28.342567],[117.73204,28.294748],[117.74936,28.369795],[117.487465,28.417698]]]]}",/data/PL/20170902/20170902_020456_1008_planet_ortho_28.36N_117.61E/20170902_020456_1008_planet_ortho_28.36N_117.61E
